meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
NX1301,1.087592959,0.990799606,1.07292676,1.188617706,1.018613815,1.147947311,1.132182121,1.05862689,1.288079619,2.281443357,2.29103899,1.836275578,2.080068111,2.157280922,1.613294601,1.467351913,1.244300604,1.191802621,1.163963437,1.110293031,1.042403698,1.17732358,1.102709055,1.053857327,35.02648,33.39255,34.80285,34.265185,33.236055,33.556445,33.06383,34.465555,34.545765,35.09123,1076.0735,1065.578333,1047.141833,1069.408167,1041.679667
NX1302,0.2985,0.369,0.3825,0.369,0.327,0.326,0.2975,0.2905,0.297,0.3605,0.537,0.794,0.5855,0.5435,0.922,1.0455,0.919,0.8815,0.7915,0.8415,0.818,0.9605,0.748,0.695,12.27976865,11.3704548,11.2997712,11.76881383,11.81272369,11.59395868,11.658468,12.30621086,11.31837829,11.11153207,353.3222071,374.1511894,361.8947939,381.5907918,355.2016626
NX1303,0.259286642,0.259195447,0.278093755,0.251199365,0.267980486,0.255489349,0.364461839,0.366027802,0.331963003,0.315078437,0.308352232,0.348828703,0.36079973,0.327113569,0.351314187,0.339160293,0.375738919,0.364284903,0.403038591,0.435768694,0.392046779,0.415508956,0.390499353,0.353939444,5.834844589,6.785292149,6.212959766,6.346474171,5.759109974,6.147241116,5.640348911,6.649758816,5.951281548,5.757740021,212.1563716,211.7653948,208.5217395,209.9345462,204.8162755
NX1304,0.378703415,0.356801331,0.336997122,0.368867636,0.311579525,0.334536761,0.268153369,0.272725224,0.272059828,0.300949186,0.274514228,0.261542827,0.326535076,0.334404826,0.23741284,0.246687382,0.273064554,0.312017918,0.332730561,0.391749114,0.43434608,0.46083951,0.465496302,0.431748241,7.687427998,7.10829258,6.60942173,6.743814945,5.749661446,5.90421772,6.815327168,6.334993362,5.530472755,6.426237106,224.6007816,228.2273779,215.7166445,229.5190331,221.6099338
NX1305,0.211,0.201,0.192,0.188,0.189,0.182,0.1815,0.221,0.1975,0.288,0.4535,0.556,0.544,0.534,0.4545,0.4715,0.3405,0.4585,0.5145,0.2955,0.382,0.5535,0.522,0.3685,12.01963897,11.42234581,10.54680798,9.000155444,8.891416006,8.695542878,9.026097032,8.886358094,8.5679974,8.760889591,304.0248889,307.8993353,298.3008641,296.8967341,296.6122401
NX1306,0.227032602,0.213331461,0.224064246,0.195284933,0.153083414,0.18419449,0.200653732,0.184543625,0.214970216,0.420798838,0.393149734,0.404230207,0.452551752,0.36443603,0.245402992,0.288932025,0.551370203,0.453658193,0.555946946,0.635593653,0.495698005,0.391174495,0.344814658,0.335632443,6.181944847,6.613788605,5.285317421,6.004788876,3.450289965,5.728582382,2.645932436,3.278681278,-0.062789351,1.219421625,207.953075,198.3541734,199.0168798,203.8357075,198.116353
NX1307,0.476367474,0.504470468,0.569098651,0.472615302,0.414729208,0.348945707,0.445533544,0.458642244,0.477079928,0.579149246,0.668833315,0.537136137,0.618771076,0.634384692,0.729004383,0.78144002,0.841027558,0.709981561,0.712502301,0.531558514,0.616295397,0.725207388,0.71675545,0.69077754,9.302648544,8.927881241,8.999410629,7.410211563,6.312204361,8.304836273,9.281453133,8.103709221,10.79419231,8.955986977,322.5214198,316.4703308,306.2581393,315.1324891,316.0160782
NX1308,0.161163032,0.250929326,0.24433203,0.23623611,0.241106629,0.237746894,0.251963019,0.258101165,0.359532833,0.281089067,0.226317376,0.24036929,0.246308059,0.260879546,0.274939239,0.337927073,0.367677271,0.398767084,0.430137515,0.425097048,0.409308791,0.437158018,0.433342069,0.36302945,7.171947479,7.80533123,7.901865482,7.303963184,7.423624039,7.808908939,7.157268047,7.496794224,7.229897976,7.359089851,249.7937611,246.8051589,233.6711968,246.7272421,245.0206042
NX1309,0.114551723,0.147813961,0.202250481,0.178695932,0.159176096,0.177094683,0.163088068,0.188227549,0.203035504,0.190188318,0.243494734,0.2263152,0.277284116,0.266060621,0.232815206,0.204449803,0.177093297,0.193990424,0.192557186,0.183133125,0.171762332,0.281578988,0.296661466,0.277347952,5.112792492,3.591128111,4.537868023,3.403606176,3.169885159,3.492779732,3.720967054,4.658893585,4.67266798,4.189300537,149.4180243,148.0895063,148.5944687,149.0398606,144.767061
NX1310,0.12665391,0.179559454,0.231004566,0.240265369,0.253567994,0.244173288,0.327761948,0.400569797,0.286783189,0.185205683,0.083782196,0.064671457,0.246355131,0.264416009,0.286509126,0.26659897,0.233024448,0.328492403,0.427023321,0.398596555,0.330271363,0.276040912,0.230714202,0.223943517,6.02352909,6.092079104,6.19741718,6.831052703,6.352153332,6.17496559,6.084827348,6.06582015,6.05082936,6.098132643,218.3884245,217.6565907,210.8024584,221.2722048,214.5716979
NX1311,0.335725904,0.311969072,0.25053817,0.252592057,0.242967591,0.254926711,0.23369801,0.254600734,0.344010711,0.449818134,0.330505431,0.334632665,0.327721447,0.327179343,0.314672142,0.312386185,0.331644535,0.324474871,0.359352916,0.375399292,0.345241487,0.372410536,0.348944038,0.356581807,6.260296345,5.772554398,5.91150713,6.3711586,5.89897871,6.27222538,6.70682478,6.14798069,6.174535751,6.360145569,190.8484956,190.5440507,183.0470382,188.2404048,186.0468868
NX1312,0.173359111,0.18644926,0.177748963,0.182810232,0.176352024,0.180426061,0.194310054,0.18682006,0.179329589,0.188655823,0.175236627,0.187987715,0.184518918,0.189383686,0.195117667,0.184038609,0.225412145,0.202644974,0.195056155,0.177611545,0.200140551,0.189424053,0.1798051,0.182614371,5.6585,18.8955,18.80125,15.273,19.50575,19.579,4.521333333,4.883,19.142,18.80125,463.6213333,466.0151667,394.5668333,446.3928333,455.2631667
NX1313,0.251209915,0.263190776,0.276755273,0.274481565,0.268243819,0.21711722,0.198302835,0.241260201,0.315957129,0.313626349,0.283036947,0.317587882,0.311033159,0.318419784,0.312543571,0.325297624,0.435555398,0.482293844,0.469570875,0.410368532,0.372258604,0.301761836,0.275100917,0.277842522,7.515751272,7.526655624,7.5248588,7.509962161,7.688628522,7.626883322,8.105578885,7.463651,7.506528,7.592586444,235.3755403,235.1138107,232.32057,237.5233988,235.0879786
NX1314,0.314862078,0.405392423,0.263448278,0.153490665,0.143752492,0.164472861,0.093877839,0.106179697,0.140288485,0.129002178,0.163248016,0.431646011,0.133418251,0.179789133,0.247466481,0.251598216,0.311751545,0.232140573,0.257332386,0.297812745,0.354848772,0.380696731,0.476888469,0.350991531,5.753745556,5.025730133,5.240921021,4.901563644,5.200696945,5.575161934,5.110429287,4.513834,5.637120724,5.487122059,161.489428,165.553596,164.4783952,167.0706431,157.9288843
NX1315,0.293165863,0.300534666,0.347963721,0.268600166,0.372905791,0.392040104,0.308813423,0.279388011,0.372104764,0.394689173,0.24110584,0.21484527,0.22517471,0.282211602,0.338683248,0.239727378,0.301954448,0.473265111,0.553794026,0.570082963,0.481351078,0.484484762,0.517976284,0.501898229,9.798321724,8.8340168,8.75288105,9.744630814,9.429638863,8.408608437,9.850058556,9.507648468,8.846727371,9.203248978,293.804422,292.9218851,283.3022173,294.6722042,286.3222286
NX1316,0.361,0.164,0.452,0.439,0.444,0.435,0.437,0.463,0.537,0.789,0.456,0.806,0.499,0.77,0.565,0.706,0.547,0.601,0.746,0.531,0.581,0.518,0.493,0.438,11.31636047,8.632846832,8.818022728,11.7559557,9.903333664,10.39008808,11.27130604,10.3787756,9.406318665,9.959143639,355.4830902,356.9002364,349.5358015,348.9267003,336.9834387
NX1317,0.331133097,0.271363139,0.339703739,0.284008622,0.266564876,0.238539755,0.210852802,0.251894534,0.276083618,0.346273541,0.320109308,0.313110709,0.293279976,0.34150666,0.317737043,0.470921367,0.391804665,0.366331846,0.427625924,0.383006871,0.365533233,0.461758345,0.469975293,0.425233185,9.058461692,9.247021825,9.330815,9.47164119,9.266761,9.370051,9.3166486,9.673092639,9.47924782,10.15094644,264.4823267,267.8379419,253.4411474,271.9684461,255.5276694
NX1318,0.305098325,0.172900289,0.135033756,0.1437556,0.125483632,0.120361112,0.128503546,0.138690084,0.150073066,0.168569118,0.208938658,0.318124235,0.346864462,0.347442508,0.228592053,0.131814837,0.211398378,0.273103237,0.252165556,0.355954409,0.345825613,0.462159127,0.436500281,0.454524279,5.284161983,5.011074996,4.956101908,4.992928635,4.972124888,5.05249193,5.133039514,5.116829511,4.985337641,4.98650242,169.3143768,172.1647536,162.5540706,171.714095,168.5799738
NX1319,0.2585,0.202,0.2025,0.1765,0.1865,0.2075,0.233,0.2965,0.404,0.4135,0.3945,0.3645,0.345,0.3965,0.3785,0.3845,0.4065,0.463,0.4895,0.5085,0.518,0.506,0.4685,0.406,8.451136949,8.450190119,8.433941966,8.446026308,8.436594166,8.450410389,8.425889791,8.431390777,8.436530471,8.436709733,263.219836,267.0189093,259.666823,265.2353052,259.2194786
NX1320,2.7505,2.959,2.722,2.647,2.7405,2.6905,2.601,2.777,3.399,4.6285,4.6995,4.886,5.33,5.1595,4.9735,5.0225,4.78,4.8105,4.885,4.9215,4.718,4.5135,3.0585,2.704,112.7670746,109.1784058,113.4767609,116.8083038,121.8638382,121.1518478,114.2437515,114.1408005,117.1911926,113.2232666,3340.866333,3377.014833,3370.9085,3350.736667,3255.572833
NX1321,0.330052197,0.385597646,0.37988472,0.375172675,0.34706986,0.34038493,0.274603933,0.304732621,0.401539981,0.450992376,0.389123619,0.490245283,0.433356375,0.396777928,0.476682454,0.361242592,0.385026067,0.489800721,0.420481414,0.563470602,0.59131664,0.607382834,0.504322529,0.570360124,9.630039215,9.297570229,7.243252754,8.672895432,9.352700233,7.862767696,8.560056686,10.27885532,8.289243698,8.964284897,295.5940446,284.5434514,279.4272419,286.0868784,281.8719972
NX1322,0.091,0.103,0.112,0.117,0.112,0.116,0.104,0.131,0.335,0.317,0.335,0.217,0.29,0.29,0.333,0.294,0.253,0.32,0.348,0.385,0.306,0.159,0.119,0.119,6.38146286,5.039016752,4.942468814,4.748486927,4.735441222,4.804381476,4.812803552,4.93074056,4.957018,4.895091463,171.1631494,172.1262238,168.5011792,175.0656381,170.3673458
NX1323,0.064666092,0.161636382,0.168774843,0.169611365,0.165683582,0.17353493,0.184464827,0.285425127,0.167669237,0.150019646,0.162100941,0.186048731,0.186926112,0.179444224,0.168170184,0.157579511,0.151623085,0.210037366,0.397944778,0.247438207,0.233349279,0.2713193,0.242866978,0.193870634,5.684305556,5.698789389,5.710165111,5.730479056,5.741412111,5.743185111,5.743532111,5.739799,5.740237,5.750728111,171.0130981,171.8917767,166.9333325,172.8194351,164.2524519
NX1324,0.099,0.079,0.079,0.078,0.075,0.078,0.079,0.089,0.154,1.982,4.038,4.225,4.346,4.142,3.876,4.058,3.917,3.209,2.011,0.178,0.305,0.208,0.171,0.145,38.91575,4.250333333,4.949666667,18.3345,4.9235,3.65025,21.91066667,36.439,4.250333333,5.683,458.061,480.6096667,558.5965,492.7453333,416.6958333
NX1325,0.397,0.379,0.361,0.317,0.303,0.313,0.361,0.422,0.436,0.399,0.37,0.314,0.291,0.312,0.353,0.312,0.323,0.41,0.455,0.467,0.451,0.538,0.531,0.455,9.085213661,9.16522789,10.15167141,9.404387474,9.91341877,9.418715477,9.432746887,9.93908596,9.540554047,8.796157837,295.769797,300.4198779,280.6356708,295.6249631,286.1846471
NX1326,0.382006794,0.370421499,0.374294013,0.374522865,0.365001738,0.383786172,0.384761781,0.372114718,0.383134365,0.375445366,0.378071487,0.384219944,0.380236179,0.375773758,0.394586325,0.382735074,0.382401049,0.384244025,0.381345153,0.367578,0.365355134,0.383920491,0.388307899,0.37671867,8.63701725,14.50562477,14.25065899,14.17333603,14.95789814,13.82529163,9.294852257,9.553537369,13.51509476,14.50422192,418.3768333,419.4598333,383.8111667,409.3475,416.0961667
NX1327,0.173,0.2285,0.239,0.23,0.198,0.28,0.309,0.3905,0.406,0.352,0.3395,0.3635,0.323,0.358,0.3445,0.336,0.2905,0.3575,0.432,0.407,0.3575,0.3365,0.29,0.2355,7.972020626,7.103226662,6.662201405,6.899981976,6.271371365,6.477886677,6.244840145,7.158513069,6.6752882,6.641089439,224.3629994,221.5726643,218.217681,220.6235786,221.3996621
NX1328,0.149719402,0.169003457,0.148929551,0.140842378,0.136492759,0.13468352,0.209400088,0.246089458,0.190618873,0.199116707,0.275476933,0.30666706,0.273045212,0.27365157,0.242448688,0.257729799,0.27007091,0.337415725,0.419998407,0.457872331,0.377803087,0.370668471,0.316435218,0.251175314,6.4302156,6.3336852,6.2299832,6.1394586,6.0681742,6.030448,5.9584972,5.913712,5.8720782,5.8315308,208.6138591,204.6431412,200.2946804,208.4157303,202.1381846
NX1329,0.152256876,0.176622719,0.178893596,0.150266305,0.167126983,0.187790021,0.250934124,0.340139508,0.257634014,0.193832085,0.195244566,0.190200001,0.170398518,0.187759891,0.172322765,0.182381868,0.250680119,0.247135714,0.303564757,0.299463987,0.297435492,0.322401702,0.28782022,0.308169842,6.003604412,5.736150742,6.366298199,7.210646629,5.56788826,7.240602016,5.846307755,4.528470516,7.619165897,6.120591164,202.026495,202.8816501,188.3609917,198.0594591,195.9349892
NX1330,0.322929531,0.312682599,0.335374147,0.331048787,0.320990115,0.295429438,0.290574461,0.339004844,0.351960182,0.468880147,0.461325139,0.405777216,0.454340994,0.358479112,0.360036403,0.272017539,0.282621473,0.338831216,0.400449097,0.361790955,0.393214345,0.454599112,0.42298618,0.372882128,8.202440262,8.159538269,8.187329292,7.841764927,8.363146782,9.103560448,7.769967079,8.28483963,7.470494747,7.771345615,252.3626994,248.129148,238.0011159,250.8012667,239.4642923
NX1331,0.313513219,0.315642446,0.291703135,0.290991068,0.288005173,0.327593893,0.318322092,0.394763231,0.389235646,0.561561406,0.396801054,0.146284372,0.171168521,0.214648634,0.277668774,0.292124808,0.367601663,0.364260197,0.32441026,0.2924335,0.282307476,0.361509442,0.370387465,0.387351751,7.015515327,6.210254192,5.825906277,6.155180454,6.012812614,6.10261631,6.410996437,6.468231201,5.770628929,5.502491474,222.5016782,222.6564958,218.6247019,221.6219663,221.2163467
NX1332,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.007,0.278,0.275,0.103,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,1.86,1.1105,1.395,1.369,1.1165,0.804666667,1.6345,1.86,1.11425,1.395,37.66583333,34.32933333,41.2965,40.128,32.87783333
NX1333,0.091876425,0.081888191,0.081432626,0.069987386,0.054023076,0.087613709,0.084215961,0.06440419,0.06264206,0.077552579,0.090040594,0.061621647,0.067024663,0.066161335,0.067257762,0.108042426,0.093121558,0.102388784,0.173190236,0.14804928,0.180209041,0.184338957,0.20450978,0.183066174,2.741353128,2.737823778,2.68631297,2.64580268,2.600637203,2.562868153,2.715567769,2.662804933,2.759626562,2.583223148,80.5459953,81.00014021,83.91061971,83.75158241,78.69721594
NX1334,0.131,0.153,0.162,0.152,0.156,0.147,0.152,0.237,0.384,0.523,0.383,0.353,0.309,0.304,0.26,0.273,0.254,0.295,0.288,0.227,0.264,0.232,0.243,0.184,7.390453365,7.243836062,7.084720067,7.256934223,7.348676022,7.444099837,7.2819302,7.330871967,7.495714381,8.09761951,275.2754093,270.3012192,260.6074896,277.7460874,262.5764672
NX1335,0.432272613,0.196901292,0.145872176,0.12829344,0.130944446,0.135879412,0.130534336,0.125892282,0.140407681,0.357309937,0.538270056,0.556689024,0.588581324,0.508343697,0.420731336,0.388540328,0.195398569,0.127037331,0.12145301,0.128978431,0.180416852,0.38784194,0.506081402,0.522781372,7.108709115,7.002410996,6.901819967,6.275263163,5.721615267,6.337008811,6.357442967,6.205762205,5.935532513,6.243735065,182.2535296,179.6433694,182.6263662,184.1716342,175.5862306
NX1336,0.446798116,0.441969246,0.44103387,0.441592127,0.440245569,0.443605065,0.445773005,0.443838447,0.442773432,0.440862179,0.447069317,0.446607381,0.444635034,0.444139302,0.450046688,0.473162442,0.482557654,0.496871948,0.456666827,0.453980744,0.429476231,0.428904444,0.43960619,0.415183485,11.0335,10.16533333,12.95233333,12.441,24.03,19.052,8.1775,5.1165,10.16533333,12.95233333,479.6636667,459.3735,445.429,491.2628333,513.4175
NX1337,0.131211111,0.150797222,0.136678889,0.132556111,0.126785556,0.125192222,0.114424444,0.118481111,0.110610556,0.119372778,0.144638333,0.260863889,0.230316667,0.16221,0.141123889,0.156811111,0.183738333,0.229444444,0.174588889,0.264837222,0.304967778,0.309541111,0.26152,0.180504444,4.60260532,4.619988741,4.622953,4.5964304,4.664697529,4.57805471,4.723943968,4.811420535,4.780203353,4.532227796,138.9461984,139.0585873,136.2444752,141.8986925,134.4892212
